Stock_Name
^GSPTSE
ABX.TO
AEM.TO
ATD-B.TO
BAM-A.TO
BB.TO
BBD-B.TO
BCE.TO
BHC.TO
BIP-UN.TO
BMO.TO
BNS.TO
CCL-B.TO
CCO.TO
CM.TO
CNQ.TO
CNR.TO
CP.TO
CSU.TO
CTC-A.TO
CVE.TO
DOL.TO
ECA.TO
EMA.TO
ENB.TO
FM.TO
FNV.TO
FTS.TO
GIB-A.TO
GIL.TO
IMO.TO
IPL.TO
K.TO
KL.TO
L.TO
MFC.TO
MG.TO
MRU.TO
NA.TO
NTR.TO
OTEX.TO
POW.TO
PPL.TO
QSR.TO
RCI-B.TO
RY.TO
SAP.TO
SHOP.TO
SJR-B.TO
SLF.TO
SNC.TO
SU.TO
T.TO
TD.TO
TECK-B.TO
TRI.TO
TRP.TO
WCN.TO
WEED.TO
WN.TO
WPM.TO
