Date,week_open,week_high,week_low,week_close,week_adj close,week_volume,week_smma_2,week_smma_2_1d_previous,week_smma_2_2d_previous,week_smma_2_1d_change,week_smma_2_2d_change,week_stay_up,week_stay_down,week_change_up,week_change_down,week_bars_since_change_up,week_bars_since_change_down,week_lowlow,week_lowhigh,week_highlow,week_highhigh,week_change_up_bar,week_change_down_bar,week_change_up_idx,week_change_down_idx,week_direction,week_1d_prev_lowlow,week_1d_prev_lowhigh,week_1d_prev_highlow,week_1d_prev_highhigh,week_prevlowlow,week_prevlowhigh,week_prevhighlow,week_prevhighhigh
2002-07-01,3.992107485148514,4.172932955190017,3.9526964356435643,4.087155999999999,4.087155999999999,9289494.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,-1,0,0.0,0,,,,,0.0,0.0,0.0,0.0
2002-07-08,4.288848967391305,4.3746259467391315,4.050063040409789,4.073246,4.073246,8054910.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0.0,0.0,4.455069344450768,4.812088541413045,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-15,4.08715727884058,4.08715727884058,3.887783516646849,3.9248769999999995,3.9248769999999995,3688830.0,4.08,0.0,0.0,4.08,0.0,0,0,1,0,1,3,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045,2,0,2,,1,0.0,0.0,4.455069344450768,4.812088541413045,0.0,0.0,0.0,0.0
2002-07-22,3.941104326328801,3.941104326328801,3.623498596370463,3.693047,3.693047,4385718.0,3.89,4.08,0.0,-0.18999999999999995,4.08,0,0,0,1,2,1,0.0,0.0,3.887783516646849,4.3746259467391315,1,1,1,3.0,-1,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045
2002-07-29,3.7370945138441733,3.806643419188668,3.489037222222222,3.697683,3.697683,2739324.0,3.79,3.89,4.08,-0.10000000000000009,-0.18999999999999995,0,1,0,0,3,2,0.0,0.0,3.887783516646849,4.3746259467391315,0,0,1,3.0,-1,0.0,0.0,3.887783516646849,4.3746259467391315,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045
2002-08-05,3.748686031346036,3.9341497805777506,3.5771323559539057,3.7370940000000004,3.7370940000000004,2312904.0,3.76,3.79,3.89,-0.03000000000000025,-0.10000000000000009,0,1,0,0,4,3,0.0,0.0,3.887783516646849,4.3746259467391315,0,0,1,3.0,-1,0.0,0.0,3.887783516646849,4.3746259467391315,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045
2002-08-12,3.7486854475655433,3.8483734311926607,3.681454848938827,3.760277,3.760277,1282200.0,3.76,3.76,3.79,0.0,-0.03000000000000025,0,1,0,0,5,4,0.0,0.0,3.887783516646849,4.3746259467391315,0,0,1,3.0,-1,0.0,0.0,3.887783516646849,4.3746259467391315,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045
2002-08-19,3.825189795918367,3.825189795918367,3.6976829932182493,3.760277,3.760277,1053408.0,3.76,3.76,3.76,0.0,0.0,0,0,0,0,6,5,0.0,0.0,3.887783516646849,4.3746259467391315,0,0,1,3.0,-1,0.0,0.0,3.887783516646849,4.3746259467391315,3.887783516646849,4.08715727884058,4.455069344450768,4.812088541413045
2002-08-26,3.8066435320987666,3.8066435320987666,3.64668000125,3.693047,3.693047,1261284.0,3.73,3.76,3.76,-0.029999999999999805,0.0,0,0,0,1,7,1,0.0,0.0,3.489037222222222,4.3746259467391315,0,1,1,8.0,-1,0.0,0.0,3.887783516646849,4.3746259467391315,3.887783516646849,4.08715727884058,3.887783516646849,4.3746259467391315
2002-09-02,3.7486854826302736,4.165978942056075,3.6513171028037386,3.704639,3.704639,1250214.0,3.72,3.73,3.76,-0.009999999999999787,-0.029999999999999805,0,1,0,0,8,2,0.0,0.0,3.489037222222222,4.3746259467391315,0,0,1,8.0,-1,0.0,0.0,3.489037222222222,4.3746259467391315,3.887783516646849,4.08715727884058,3.887783516646849,4.3746259467391315
